,country,city,AQI Value,AQI Category,CO AQI Value,Ozone AQI Value,NO2 AQI Value,PM2.5 AQI Value,value,latitude,longitude,averaged_over_in_hours,hour,day_of_week,month,CO AQI Category_Good,Ozone AQI Category_Good,Ozone AQI Category_Moderate,Ozone AQI Category_Unhealthy,Ozone AQI Category_Unhealthy for Sensitive Groups,Ozone AQI Category_Very Unhealthy,NO2 AQI Category_Good,PM2.5 AQI Category_Good,PM2.5 AQI Category_Hazardous,PM2.5 AQI Category_Moderate,PM2.5 AQI Category_Unhealthy,PM2.5 AQI Category_Unhealthy for Sensitive Groups,PM2.5 AQI Category_Very Unhealthy,pollutant_bc,pollutant_co,pollutant_o3,traffic_pollution_proxy
24,0.4232993665656844,0.0020655466813549986,154,Unhealthy,3,100,2,154,1.1522313459478757,0.25,25.0328,85.41948,4,2,5,True,False,False,False,True,False,True,False,False,False,True,False,False,False,True,False,5
25,0.4232993665656844,0.0020655466813549986,154,Unhealthy,3,100,2,154,1.5013923598714745,0.25,25.0328,85.41948,0,4,4,True,False,False,False,True,False,True,False,False,False,True,False,False,False,True,False,5
26,0.4232993665656844,0.0020655466813549986,154,Unhealthy,3,100,2,154,0.9078186362013566,0.25,25.0328,85.41948,1,1,5,True,False,False,False,True,False,True,False,False,False,True,False,False,False,True,False,5
27,0.4232993665656844,0.0020655466813549986,154,Unhealthy,3,100,2,154,0.9863798643341664,0.25,25.0328,85.41948,18,5,5,True,False,False,False,True,False,True,False,False,False,True,False,False,False,True,False,5
28,0.4232993665656844,0.0020655466813549986,154,Unhealthy,3,100,2,154,0.523741520885398,0.25,25.0328,85.41948,13,6,5,True,False,False,False,True,False,True,False,False,False,True,False,False,False,True,False,5
29,0.4232993665656844,0.0020655466813549986,154,Unhealthy,3,100,2,154,0.9514637629418065,0.25,25.0328,85.41948,5,1,5,True,False,False,False,True,False,True,False,False,False,True,False,False,False,True,False,5
30,0.4232993665656844,0.001996695125309832,247,Very Unhealthy,3,162,1,247,1.0212959657265261,0.25,26.15146,85.89342,20,2,4,True,False,False,True,False,False,True,False,False,False,False,False,True,False,True,False,4
31,0.4232993665656844,0.001996695125309832,247,Very Unhealthy,3,162,1,247,0.8554444841128168,0.25,26.15146,85.89342,7,5,5,True,False,False,True,False,False,True,False,False,False,False,False,True,False,True,False,4
32,0.4232993665656844,0.001996695125309832,247,Very Unhealthy,3,162,1,247,0.6808639771510175,0.25,26.15146,85.89342,11,3,5,True,False,False,True,False,False,True,False,False,False,False,False,True,False,True,False,4
33,0.4232993665656844,0.001996695125309832,247,Very Unhealthy,3,162,1,247,0.7856122813280971,0.25,26.15146,85.89342,21,3,5,True,False,False,True,False,False,True,False,False,False,False,False,True,False,True,False,4
34,0.4232993665656844,0.001996695125309832,247,Very Unhealthy,3,162,1,247,0.7768832559800072,0.25,26.15146,85.89342,11,4,5,True,False,False,True,False,False,True,False,False,False,False,False,True,False,True,False,4
35,0.4232993665656844,0.001996695125309832,247,Very Unhealthy,3,162,1,247,0.9427347375937165,0.25,26.15146,85.89342,4,6,5,True,False,False,True,False,False,True,False,False,False,False,False,True,False,True,False,4
36,0.4232993665656844,0.001996695125309832,247,Very Unhealthy,3,162,1,247,0.8729025348089968,0.25,26.15146,85.89342,14,1,5,True,False,False,True,False,False,True,False,False,False,False,False,True,False,True,False,4
37,0.4232993665656844,0.001996695125309832,247,Very Unhealthy,3,162,1,247,0.9252766868975366,0.25,26.15146,85.89342,23,3,3,True,False,False,True,False,False,True,False,False,False,False,False,True,False,True,False,4
38,0.4232993665656844,0.001996695125309832,247,Very Unhealthy,3,162,1,247,1.1085862192074258,0.25,26.15146,85.89342,15,2,5,True,False,False,True,False,False,True,False,False,False,False,False,True,False,True,False,4
39,0.4232993665656844,0.001996695125309832,247,Very Unhealthy,3,162,1,247,0.7681542306319171,0.25,26.15146,85.89342,3,2,5,True,False,False,True,False,False,True,False,False,False,False,False,True,False,True,False,4
40,0.4232993665656844,0.001996695125309832,247,Very Unhealthy,3,162,1,247,1.4752052838272045,0.25,26.15146,85.89342,3,0,5,True,False,False,True,False,False,True,False,False,False,False,False,True,False,True,False,4
41,0.4232993665656844,0.001996695125309832,247,Very Unhealthy,3,162,1,247,0.9776508389860764,0.25,26.15146,85.89342,5,1,5,True,False,False,True,False,False,True,False,False,False,False,False,True,False,True,False,4
42,0.4232993665656844,0.001996695125309832,247,Very Unhealthy,3,162,1,247,0.803070332024277,0.25,26.15146,85.89342,1,2,5,True,False,False,True,False,False,True,False,False,False,False,False,True,False,True,False,4
43,0.4232993665656844,0.001996695125309832,247,Very Unhealthy,3,162,1,247,0.7856122813280971,0.25,26.15146,85.89342,18,5,5,True,False,False,True,False,False,True,False,False,False,False,False,True,False,True,False,4
44,0.4232993665656844,0.001996695125309832,247,Very Unhealthy,3,162,1,247,1.2918957515173153,0.25,26.15146,85.89342,17,3,5,True,False,False,True,False,False,True,False,False,False,False,False,True,False,True,False,4
45,0.4232993665656844,0.001996695125309832,247,Very Unhealthy,3,162,1,247,0.0101365625,0.25,26.15146,85.89342,17,5,5,True,False,False,True,False,False,True,False,False,False,False,False,True,False,False,True,4
46,0.4232993665656844,0.001996695125309832,247,Very Unhealthy,3,162,1,247,0.006061562499999999,0.25,26.15146,85.89342,17,2,5,True,False,False,True,False,False,True,False,False,False,False,False,True,False,False,True,4
47,0.4232993665656844,0.001996695125309832,247,Very Unhealthy,3,162,1,247,0.014109687499999999,0.25,26.15146,85.89342,2,5,5,True,False,False,True,False,False,True,False,False,False,False,False,True,False,False,True,4
